symbol,entry_date,entry_price,exit_date,exit_price,shares,pnl_dollars,return_pct,exit_reason,days_held
AEP,2022-08-16,103.88,2022-09-27,95.88,105,-840.0,-7.7,ema220_break,42
XEL,2022-09-13,76.61,2022-09-27,70.16,140,-903.0,-8.42,ema220_break,14
REGN,2022-10-06,743.88,2023-05-26,725.0,14,-264.32,-2.54,ema220_break,232
ORLY,2022-10-24,50.0,2023-10-24,58.6413,206,1780.11,17.28,ema220_break,365
TMUS,2022-10-31,150.0,2023-03-13,140.09,70,-693.7,-6.61,ema220_break,133
FANG,2022-11-07,162.7,2022-12-07,138.79,64,-1530.24,-14.7,stop_loss,30
FAST,2022-11-07,162.7,2022-12-07,138.79,64,-1530.24,-14.7,stop_loss,30
MNST,2022-11-21,50.0,2023-09-28,53.24,207,670.68,6.48,ema220_break,311
ADP,2022-11-23,261.96,2023-01-06,235.98,39,-1013.22,-9.92,ema220_break,44
TRI,2023-01-05,121.4953,2023-08-23,126.63,82,421.04,4.23,ema220_break,230
MDLZ,2023-02-15,199.1,2024-07-19,280.83,51,4168.23,41.05,ema220_break,520
CDNS,2023-02-15,199.1,2024-07-19,280.83,51,4168.23,41.05,ema220_break,520
DASH,2023-02-15,199.1,2024-07-19,280.83,51,4168.23,41.05,ema220_break,520
VRTX,2023-04-11,324.17,2024-11-20,448.46,32,3977.28,38.34,ema220_break,589
DXCM,2023-04-20,123.59,2023-08-09,110.71,85,-1094.8,-10.42,ema220_break,111
KLAC,2023-05-26,435.0,2024-10-17,700.98,24,6383.52,61.14,ema220_break,510
CEG,2023-08-09,104.62,2025-03-04,227.5,104,12779.52,117.45,ema220_break,573
ODFL,2023-08-30,213.9,2024-04-25,196.76,51,-874.14,-8.01,ema220_break,239
MSTR,2023-11-08,46.908,2024-09-09,118.93,240,17285.28,153.54,ema220_break,306
AXON,2023-11-09,230.23,2025-10-16,648.5,49,20495.23,181.67,ema220_break,707
AMGN,2024-07-23,334.36,2024-11-13,306.0,51,-1446.36,-8.48,ema220_break,113
LIN,2024-07-23,334.36,2024-11-13,306.0,51,-1446.36,-8.48,ema220_break,113
EA,2024-07-30,148.21,2025-01-07,144.66,111,-394.05,-2.4,ema220_break,161
PLTR,2024-09-10,34.81,2026-02-02,150.94,440,51097.2,333.61,ema220_break,510
ADP,2024-09-11,277.31,2025-04-08,282.8,55,301.95,1.98,ema220_break,209
ADSK,2024-10-17,290.44,2025-03-04,270.64,58,-1148.4,-6.82,ema220_break,138
INTU,2024-11-13,697.25,2025-01-03,628.5,26,-1787.5,-9.86,ema220_break,51
HON,2024-11-13,221.4892,2025-02-07,199.8115,82,-1777.57,-9.79,ema220_break,86
GOOGL,2025-01-07,197.11,2025-02-28,168.68,94,-2672.42,-14.42,ema220_break,52
BKR,2025-01-15,45.62,2025-04-07,34.62,401,-4411.0,-24.11,stop_loss,82
