Date,Symbol,Open,Open,High,High,Low,Low,Close,Close,Adj Close,Adj Close,Volume,Volume
2020-01-02,ASML,301.2699890136719,158.77999877929688,303.32000732421875,160.72999572753906,300.6099853515625,158.3300018310547,302.8299865722656,160.6199951171875,286.525146484375,152.1584014892578,573600,22622100
2020-01-03,ASML,298.0400085449219,158.32000732421875,300.75,159.9499969482422,297.6600036621094,158.05999755859375,297.95001220703125,158.6199951171875,281.9080810546875,150.26373291015625,410800,21116200
2020-01-06,ASML,293.1700134277344,157.0800018310547,295.7200012207031,159.10000610351562,292.42999267578125,156.50999450683594,295.5799865722656,159.02999877929688,279.6656188964844,150.6521453857422,617600,20813700
2020-01-07,ASML,298.6700134277344,159.32000732421875,301.2200012207031,159.6699981689453,297.4100036621094,157.32000732421875,298.7900085449219,157.5800018310547,282.7027587890625,149.27854919433594,477700,21634100
2020-01-08,ASML,300.6600036621094,158.92999267578125,303.19000244140625,160.8000030517578,299.94000244140625,157.9499969482422,301.8900146484375,160.08999633789062,285.63592529296875,151.65635681152344,536900,27746500
2020-01-09,ASML,303.2799987792969,161.83999633789062,303.9100036621094,162.22000122070312,300.2699890136719,161.02999877929688,301.3800048828125,162.08999633789062,285.1532897949219,153.55091857910156,579700,21385000
2020-01-10,ASML,300.04998779296875,162.82000732421875,300.510009765625,163.22000122070312,295.55999755859375,161.17999267578125,296.17999267578125,161.33999633789062,280.2333068847656,152.84048461914062,447700,20725900
2020-01-13,ASML,298.67999267578125,161.75999450683594,301.6199951171875,163.30999755859375,297.5,161.25999450683594,301.45001220703125,163.27999877929688,285.2195739746094,154.6782684326172,405700,21626500
2020-01-14,ASML,299.1499938964844,163.38999938964844,305.8999938964844,163.60000610351562,298.4700012207031,161.72000122070312,302.54998779296875,162.1300048828125,286.2603759765625,153.5888671875,609600,23477400
2020-01-15,ASML,301.6000061035156,162.6199951171875,302.95001220703125,163.94000244140625,299.75,162.57000732421875,300.0799865722656,163.17999267578125,283.92333984375,154.58352661132812,505300,21417900
2020-01-16,ASML,302.54998779296875,164.35000610351562,302.94000244140625,166.24000549316406,299.54998779296875,164.02999877929688,301.0799865722656,166.1699981689453,284.86944580078125,157.41600036621094,547500,23865400
2020-01-17,ASML,300.8999938964844,167.4199981689453,301.04998779296875,167.47000122070312,299.2699890136719,165.42999267578125,300.0400085449219,167.10000610351562,283.8854675292969,158.29702758789062,743900,34371700
2020-01-21,ASML,298.1099853515625,166.67999267578125,301.25,168.19000244140625,297.4700012207031,166.42999267578125,298.3999938964844,166.5,282.33380126953125,157.72866821289062,573000,29517200
2020-01-22,ASML,300.55999755859375,167.39999389648438,301.6600036621094,167.49000549316406,296.010009765625,165.67999267578125,296.25,165.6999969482422,280.2995300292969,156.97079467773438,1108600,24138800
2020-01-23,ASML,296.92999267578125,166.19000244140625,297.1000061035156,166.8000030517578,291.55999755859375,165.27000427246094,294.32000732421875,166.72000122070312,278.4735107421875,157.93707275390625,713000,19680800
2020-01-24,ASML,296.8900146484375,167.50999450683594,299.3299865722656,167.52999877929688,294.489990234375,164.4499969482422,295.8299865722656,165.0399932861328,279.9021301269531,156.34555053710938,977800,24918100
2020-01-27,ASML,287.1600036621094,161.14999389648438,288.6199951171875,163.3800048828125,283.7699890136719,160.1999969482422,284.2799987792969,162.27999877929688,268.97406005859375,153.73095703125,889100,32078100
2020-01-28,ASML,286.2300109863281,163.77999877929688,290.260009765625,165.75999450683594,285.1600036621094,163.07000732421875,290.17999267578125,165.4600067138672,274.5563659667969,156.74339294433594,1636100,24899900
2020-01-29,ASML,296.07000732421875,167.83999633789062,298.2900085449219,168.75,293.7099914550781,165.69000244140625,296.1400146484375,168.0399932861328,280.1955261230469,159.18748474121094,965500,34754500
2020-01-30,ASML,290.7900085449219,174.0500030517578,294.70001220703125,174.0500030517578,290.5400085449219,170.7899932861328,294.3800048828125,172.77999877929688,278.53021240234375,163.67782592773438,794100,51597500
2020-01-31,ASML,288.0,172.2100067138672,288.25,172.39999389648438,280.1700134277344,169.5800018310547,280.6600036621094,170.22999572753906,265.5489501953125,161.2621307373047,1272600,36142700
2020-02-03,ASML,283.6300048828125,170.42999267578125,288.8500061035156,174.5,283.32000732421875,170.39999389648438,288.1600036621094,174.3800048828125,272.6451110839844,165.19351196289062,823200,30107000
2020-02-04,ASML,294.9100036621094,177.13999938964844,299.260009765625,180.63999938964844,294.2300109863281,176.30999755859375,299.2300109863281,180.1199951171875,283.1191101074219,170.631103515625,795300,36433300
2020-02-05,ASML,307.3500061035156,184.02999877929688,307.3500061035156,184.1999969482422,303.04998779296875,178.41000366210938,306.32000732421875,179.89999389648438,289.82733154296875,170.4226837158203,1042000,39186300
2020-02-06,ASML,307.5299987792969,180.97000122070312,309.6099853515625,183.82000732421875,306.6199951171875,180.05999755859375,309.54998779296875,183.6300048828125,292.883544921875,173.9562530517578,698000,27751400
2020-02-07,ASML,304.6700134277344,182.85000610351562,305.6300048828125,185.6300048828125,303.20001220703125,182.47999572753906,304.9700012207031,183.88999938964844,288.55010986328125,174.20252990722656,1775900,33529100
2020-02-10,ASML,304.0400085449219,183.5800018310547,309.70001220703125,188.83999633789062,304.0,183.25,309.67999267578125,188.6999969482422,293.0064697265625,178.7591094970703,373000,35844300
2020-02-11,ASML,313.0400085449219,190.64999389648438,316.2699890136719,190.6999969482422,313.010009765625,183.5,316.010009765625,184.44000244140625,298.99566650390625,174.72354125976562,789900,53159900
2020-02-12,ASML,315.6300048828125,185.5800018310547,317.7099914550781,185.85000610351562,315.25,181.85000610351562,317.44000244140625,184.7100067138672,300.3486633300781,174.97930908203125,656100,47062900
2020-02-13,ASML,314.95001220703125,183.0800018310547,318.3699951171875,186.22999572753906,314.0199890136719,182.8699951171875,317.25,183.7100067138672,300.16888427734375,174.03201293945312,742200,35295800
2020-02-14,ASML,317.3699951171875,183.25,319.2200012207031,185.41000366210938,314.510009765625,182.64999389648438,316.29998779296875,185.35000610351562,299.2699279785156,175.5856170654297,661400,23149500
2020-02-18,ASML,307.3999938964844,185.61000061035156,310.2099914550781,187.6999969482422,306.8900146484375,185.5,309.17999267578125,187.22999572753906,292.53338623046875,177.36651611328125,757100,27792200
2020-02-19,ASML,311.1499938964844,188.05999755859375,317.6300048828125,188.17999267578125,311.0,186.47000122070312,317.3900146484375,187.27999877929688,300.3014221191406,177.89849853515625,1093900,29997500
2020-02-20,ASML,315.8500061035156,186.9499969482422,316.5799865722656,187.25,310.44000244140625,181.10000610351562,313.4700012207031,184.4199981689453,296.59246826171875,175.18179321289062,1118400,36862400
2020-02-21,ASML,310.20001220703125,183.1699981689453,310.8299865722656,183.5,304.7300109863281,177.25,306.0,178.58999633789062,289.5246276855469,169.64382934570312,1134600,48572600
2020-02-24,ASML,289.04998779296875,167.77000427246094,295.2300109863281,174.5500030517578,288.2699890136719,163.22999572753906,290.3999938964844,170.88999938964844,274.7645568847656,162.3295440673828,1347400,68311100
2020-02-25,ASML,295.54998779296875,174.1999969482422,295.92999267578125,174.83999633789062,284.44000244140625,167.64999389648438,284.5899963378906,168.07000732421875,269.267333984375,159.65078735351562,1166700,68073300
2020-02-26,ASML,289.45001220703125,169.7100067138672,292.30999755859375,173.25999450683594,285.5899963378906,168.2100067138672,286.32000732421875,170.1699981689453,270.9042053222656,161.6456298828125,861100,56206100
2020-02-27,ASML,278.8599853515625,163.32000732421875,286.8500061035156,167.02999877929688,275.8699951171875,157.97999572753906,277.2300109863281,158.17999267578125,262.30352783203125,150.2561798095703,1373900,93174900
2020-02-28,ASML,267.80999755859375,152.41000366210938,277.4599914550781,163.7100067138672,265.9800109863281,152.0,276.7099914550781,162.00999450683594,261.8116455078125,153.89437866210938,1647400,97012700
2020-03-02,ASML,279.6199951171875,165.30999755859375,287.489990234375,172.9199981689453,275.4700012207031,162.30999755859375,287.489990234375,172.7899932861328,272.01129150390625,164.1343536376953,1081300,71030800
2020-03-03,ASML,292.92999267578125,173.8000030517578,296.8500061035156,175.0,282.2200012207031,162.25999450683594,284.29998779296875,164.50999450683594,268.992919921875,156.2691192626953,1916300,71677000
2020-03-04,ASML,292.3900146484375,168.49000549316406,301.989990234375,170.6999969482422,289.9800109863281,165.6199951171875,301.6099853515625,170.5500030517578,285.3709411621094,162.0065460205078,1289500,49814400
2020-03-05,ASML,291.0400085449219,166.0500030517578,295.94000244140625,170.8699951171875,286.0400085449219,165.69000244140625,288.25,166.27000427246094,272.730224609375,157.94097900390625,1453900,47817300
2020-03-06,ASML,284.4599914550781,162.61000061035156,288.239990234375,163.11000061035156,281.2900085449219,156.0,288.1099853515625,161.57000732421875,272.5976867675781,153.4764404296875,1148400,72821100
2020-03-09,ASML,265.45001220703125,151.0,276.3699951171875,157.75,263.8599853515625,150.0,263.9100036621094,150.6199951171875,249.7008056640625,143.07489013671875,1759600,70419300
2020-03-10,ASML,277.989990234375,158.16000366210938,280.3500061035156,161.02999877929688,265.0,152.5800018310547,279.760009765625,160.9199981689453,264.6973876953125,152.85894775390625,1699200,65354400
2020-03-11,ASML,272.510009765625,157.1300048828125,274.3299865722656,157.6999969482422,260.55999755859375,151.14999389648438,264.1400146484375,153.6300048828125,249.9184112548828,145.93417358398438,1175900,56371600
2020-03-12,ASML,245.4199981689453,145.3000030517578,254.86000061035156,153.47000122070312,237.5500030517578,138.5800018310547,240.75,139.05999755859375,227.7877197265625,132.09402465820312,2779800,93226400
2020-03-13,ASML,257.05999755859375,147.5,257.8599853515625,161.91000366210938,233.83999633789062,140.72999572753906,256.95001220703125,158.8300018310547,243.11550903320312,150.87368774414062,2637200,92727400
2020-03-16,ASML,220.64999389648438,140.0,248.2100067138672,149.35000610351562,209.6199951171875,135.0,229.36000061035156,135.4199981689453,217.010986328125,128.63636779785156,1496800,87905900
2020-03-17,ASML,231.5500030517578,140.0,239.97999572753906,147.5,225.02000427246094,135.0,238.33999633789062,146.57000732421875,225.5074920654297,139.22779846191406,1642500,81059800
2020-03-18,ASML,213.36000061035156,138.0,226.2899932861328,146.0,191.25,135.02000427246094,196.99000549316406,140.39999389648438,186.38381958007812,133.36688232421875,3131900,81593200
2020-03-19,ASML,205.80999755859375,142.77000427246094,219.24000549316406,150.14999389648438,200.58999633789062,139.0,214.02999877929688,142.7100067138672,202.50640869140625,135.56117248535156,1634600,85922700
2020-03-20,ASML,225.14999389648438,146.0,237.32000732421875,147.10000610351562,215.58999633789062,135.86000061035156,216.10000610351562,137.35000610351562,204.46493530273438,130.46969604492188,2316700,84866200
2020-03-23,ASML,225.3300018310547,137.00999450683594,235.3000030517578,140.57000732421875,222.6699981689453,132.52000427246094,233.14999389648438,135.97999572753906,220.596923828125,129.16827392578125,1731500,78975200
2020-03-24,ASML,254.3300018310547,143.75,260.5299987792969,149.60000610351562,250.8000030517578,141.27000427246094,260.2099914550781,148.33999633789062,246.19998168945312,140.9091033935547,1427600,82516700
2020-03-25,ASML,260.6700134277344,148.91000366210938,272.3399963378906,154.3300018310547,251.9499969482422,144.44000244140625,262.07000732421875,146.9199981689453,247.9598388671875,139.560302734375,1211300,75638200
2020-03-26,ASML,262.8900146484375,148.39999389648438,277.1400146484375,156.66000366210938,261.6099853515625,148.3699951171875,275.8999938964844,156.11000061035156,261.0451965332031,148.28993225097656,1018600,64568100
2020-03-27,ASML,262.2099914550781,151.75,263.7099914550781,154.88999938964844,251.80999755859375,149.1999969482422,252.6199951171875,149.6999969482422,239.01861572265625,142.20101928710938,1518300,57042300
2020-03-30,ASML,263.57000732421875,152.44000244140625,270.1300048828125,160.60000610351562,260.69000244140625,150.00999450683594,268.0299987792969,160.22999572753906,253.59898376464844,152.2035369873047,1142400,63420300
2020-03-31,ASML,268.1199951171875,159.39999389648438,268.5899963378906,164.77999877929688,259.0,156.55999755859375,261.6400146484375,157.7100067138672,247.55299377441406,149.80979919433594,881800,77927200
2020-04-01,ASML,253.1300048828125,153.0,257.67999267578125,157.75,247.3800048828125,150.82000732421875,249.00999450683594,152.11000061035156,235.60301208496094,144.4902801513672,715700,57969900
2020-04-02,ASML,243.8699951171875,151.86000061035156,251.9600067138672,155.47999572753906,242.25,150.36000061035156,247.27999877929688,155.25999450683594,233.96617126464844,147.48251342773438,788600,49630700
2020-04-03,ASML,246.05999755859375,155.10000610351562,248.0,157.3800048828125,242.47999572753906,152.19000244140625,244.61000061035156,153.8300018310547,231.43992614746094,146.1241455078125,571700,41243300
2020-04-06,ASML,260.0,160.32000732421875,272.7799987792969,166.5,259.4200134277344,157.5800018310547,271.1300048828125,165.27000427246094,256.5321044921875,156.99107360839844,807600,67111700
2020-04-07,ASML,280.4599914550781,169.58999633789062,281.2799987792969,170.0,271.0,163.25999450683594,272.5899963378906,163.49000549316406,257.91339111328125,155.3002166748047,768200,62769000
2020-04-08,ASML,278.0299987792969,165.6699981689453,281.3399963378906,166.6699981689453,274.4100036621094,163.5,278.5799865722656,165.1300048828125,263.5809020996094,156.85804748535156,891700,48318200
2020-04-09,ASML,282.2200012207031,166.36000061035156,285.1300048828125,167.3699951171875,275.1199951171875,163.3300018310547,276.80999755859375,165.13999938964844,261.9062194824219,156.86758422851562,728900,51385100
2020-04-13,ASML,274.8500061035156,164.35000610351562,276.1499938964844,165.57000732421875,272.010009765625,162.3000030517578,274.1000061035156,165.50999450683594,259.3421325683594,157.21902465820312,789400,41905300
2020-04-14,ASML,286.989990234375,169.0,294.760009765625,173.75,285.04998779296875,168.0,288.92999267578125,173.6999969482422,273.3736572265625,164.998779296875,1700600,52874300
2020-04-15,ASML,276.9200134277344,171.1999969482422,284.5400085449219,173.57000732421875,275.04998779296875,169.24000549316406,282.489990234375,171.8800048828125,267.28033447265625,163.26992797851562,1487600,40940800
2020-04-16,ASML,289.8299865722656,174.3000030517578,292.54998779296875,177.27999877929688,286.1700134277344,172.89999389648438,292.3999938964844,177.0399932861328,276.6568298339844,168.17147827148438,1212000,50479600
2020-04-17,ASML,301.25,179.5,301.42999267578125,180.0,293.6099853515625,175.8699951171875,295.6499938964844,178.60000610351562,279.73193359375,169.6532745361328,899100,52765600
2020-04-20,ASML,291.6499938964844,176.6300048828125,298.010009765625,178.75,291.44000244140625,174.99000549316406,291.5799865722656,175.05999755859375,275.8809509277344,166.2906494140625,510100,36669600
2020-04-21,ASML,286.07000732421875,173.5,287.54998779296875,173.6699981689453,278.57000732421875,166.11000061035156,281.0899963378906,167.82000732421875,265.9558410644531,159.413330078125,663700,56203700
2020-04-22,ASML,290.0,171.38999938964844,295.4700012207031,174.0,288.2300109863281,170.82000732421875,294.9700012207031,173.52000427246094,279.0885009765625,164.8278045654297,596100,34620200
2020-04-23,ASML,290.94000244140625,174.11000061035156,297.1600036621094,175.05999755859375,288.30999755859375,170.91000366210938,289.3999938964844,171.4199981689453,273.8183898925781,162.83299255371094,730500,32790800
2020-04-24,ASML,289.8900146484375,172.05999755859375,292.4599914550781,174.55999755859375,285.9700012207031,170.7100067138672,291.8399963378906,174.5500030517578,277.5251159667969,165.80621337890625,464200,34277600
2020-04-27,ASML,293.7900085449219,176.58999633789062,294.760009765625,176.89999389648438,290.2799987792969,173.3000030517578,290.8999938964844,174.0500030517578,276.6312255859375,165.33123779296875,689100,33194400
2020-04-28,ASML,297.5899963378906,175.58999633789062,297.5899963378906,175.6699981689453,291.0899963378906,169.38999938964844,291.4200134277344,169.80999755859375,277.1257629394531,161.30360412597656,532000,34392700
2020-04-29,ASML,296.29998779296875,173.22000122070312,304.760009765625,177.67999267578125,295.3500061035156,171.8800048828125,303.7099914550781,177.42999267578125,288.8128967285156,168.5419158935547,968000,51286600
2020-04-30,ASML,301.3599853515625,180.0,301.5299987792969,180.39999389648438,287.05999755859375,176.22999572753906,288.42999267578125,179.2100067138672,274.28240966796875,170.23277282714844,846300,53875900
2020-05-01,ASML,283.8599853515625,175.8000030517578,283.8599853515625,178.63999938964844,278.20001220703125,174.00999450683594,279.05999755859375,174.57000732421875,265.37200927734375,165.8251953125,862800,39370500
2020-05-04,ASML,279.6000061035156,174.49000549316406,283.2300109863281,179.0,275.9599914550781,173.8000030517578,283.17999267578125,178.83999633789062,269.2899169921875,169.88131713867188,1036900,30372900
2020-05-05,ASML,284.3299865722656,180.6199951171875,293.0,183.64999389648438,284.3299865722656,179.89999389648438,288.3500061035156,180.75999450683594,274.2063293457031,171.7051239013672,821600,36839200
2020-05-06,ASML,293.8900146484375,182.0800018310547,295.7799987792969,184.1999969482422,290.7900085449219,181.6300048828125,291.8999938964844,182.5399932861328,277.582275390625,173.39596557617188,552400,32139300
2020-05-07,ASML,297.94000244140625,184.1699981689453,300.1199951171875,184.5500030517578,294.54998779296875,182.5800018310547,299.5899963378906,183.60000610351562,284.8950500488281,174.40284729003906,570800,28316000
2020-05-08,ASML,300.2200012207031,184.97999572753906,304.510009765625,185.0,299.44000244140625,183.36000061035156,304.3999938964844,184.67999267578125,289.4691467285156,175.4287872314453,680600,30877800
2020-05-11,ASML,298.6000061035156,183.14999389648438,305.79998779296875,187.50999450683594,298.3500061035156,182.85000610351562,304.3900146484375,186.74000549316406,289.45965576171875,177.3855743408203,513600,30892700
2020-05-12,ASML,305.3800048828125,186.8000030517578,305.8999938964844,187.0399932861328,296.239990234375,182.3000030517578,296.6300048828125,182.50999450683594,282.08026123046875,173.36744689941406,481700,32038200
2020-05-13,ASML,298.489990234375,182.5500030517578,301.4700012207031,184.0500030517578,290.75,176.5399932861328,294.2300109863281,179.75,279.7980041503906,170.74569702148438,1142300,44711500
2020-05-14,ASML,286.1700134277344,177.5399932861328,303.760009765625,180.69000244140625,283.30999755859375,175.67999267578125,302.54998779296875,180.52999877929688,287.7098693847656,171.4866485595703,1296800,41873900
2020-05-15,ASML,292.75,179.05999755859375,296.2200012207031,187.05999755859375,290.1000061035156,177.0,292.5400085449219,183.16000366210938,278.1908874511719,173.9849090576172,957200,46610400
2020-05-18,ASML,297.69000244140625,185.75,306.55999755859375,186.1999969482422,297.6600036621094,183.9600067138672,304.8900146484375,184.91000366210938,289.93511962890625,175.64724731445312,997000,35264500
2020-05-19,ASML,303.82000732421875,185.02999877929688,311.989990234375,186.60000610351562,303.7300109863281,183.49000549316406,306.25,183.6300048828125,291.2283630371094,174.431396484375,687400,26799100
2020-05-20,ASML,318.239990234375,184.80999755859375,326.260009765625,185.85000610351562,317.54998779296875,183.94000244140625,325.6400146484375,185.66000366210938,309.6672668457031,176.85086059570312,1084900,31261300
2020-05-21,ASML,322.6000061035156,185.39999389648438,324.4599914550781,186.6699981689453,317.29998779296875,183.2899932861328,318.989990234375,183.42999267578125,303.34344482421875,174.7266387939453,639200,29119500
2020-05-22,ASML,315.9700012207031,183.19000244140625,319.5,184.4600067138672,314.32000732421875,182.5399932861328,319.3599853515625,183.50999450683594,303.6952819824219,174.80282592773438,365400,20826900
2020-05-26,ASML,322.4599914550781,186.33999633789062,325.3800048828125,186.5,319.3800048828125,181.10000610351562,319.8599853515625,181.57000732421875,304.1707458496094,172.9549102783203,540400,36073600
2020-05-27,ASML,318.989990234375,180.1999969482422,319.6000061035156,181.99000549316406,311.1099853515625,176.60000610351562,318.5299987792969,181.80999755859375,302.906005859375,173.18353271484375,808100,39517100
2020-05-28,ASML,321.260009765625,180.74000549316406,329.0799865722656,184.14999389648438,319.4100036621094,180.3800048828125,319.9700012207031,181.39999389648438,304.2754211425781,172.79295349121094,797900,33810200
2020-05-29,ASML,325.45001220703125,182.72999572753906,329.9800109863281,184.27000427246094,324.239990234375,180.41000366210938,329.510009765625,183.25,313.3474426269531,174.5552215576172,649500,42130400
2020-06-01,ASML,323.8800048828125,182.5399932861328,327.1600036621094,183.0,323.5,181.4600067138672,326.7300109863281,182.8300018310547,310.7038269042969,174.15513610839844,526100,22622400
2020-06-02,ASML,331.69000244140625,184.25,335.0199890136719,185.0,328.7699890136719,181.35000610351562,334.7300109863281,184.91000366210938,318.31134033203125,176.1364288330078,717200,30794600
2020-06-03,ASML,340.510009765625,184.82000732421875,347.4599914550781,185.94000244140625,338.8500061035156,183.5800018310547,346.29998779296875,185.36000061035156,329.31390380859375,176.56504821777344,693900,27311000
2020-06-04,ASML,347.8500061035156,184.3000030517578,353.3900146484375,185.83999633789062,347.0,182.3000030517578,353.1099853515625,182.9199981689453,335.7898254394531,174.24087524414062,884600,28761800
2020-06-05,ASML,359.0,182.6199951171875,364.1600036621094,187.72999572753906,356.1600036621094,182.00999450683594,357.2200012207031,187.1999969482422,339.6982421875,178.31776428222656,899200,39893600
2020-06-08,ASML,350.9700012207031,185.94000244140625,351.57000732421875,188.5500030517578,343.1099853515625,184.44000244140625,349.25,188.36000061035156,332.11920166015625,179.42271423339844,1001700,33211600
2020-06-09,ASML,346.6199951171875,188.0,353.1400146484375,190.6999969482422,345.17999267578125,187.25999450683594,349.3299865722656,189.8000030517578,332.1952819824219,180.79441833496094,737200,29783900
2020-06-10,ASML,351.010009765625,191.1300048828125,353.4200134277344,198.52000427246094,347.7099914550781,191.00999450683594,347.9200134277344,196.83999633789062,330.8544006347656,187.50033569335938,997900,43872300
2020-06-11,ASML,341.6000061035156,193.1300048828125,344.82000732421875,195.75999450683594,332.79998779296875,186.07000732421875,332.8900146484375,186.27000427246094,316.56158447265625,177.43190002441406,919300,52854700
2020-06-12,ASML,346.260009765625,190.5399932861328,347.2699890136719,191.72000122070312,337.25,185.17999267578125,343.07000732421875,187.74000549316406,326.24237060546875,178.8321075439453,845000,43373600
2020-06-15,ASML,337.510009765625,184.5800018310547,350.010009765625,190.82000732421875,336.6300048828125,184.00999450683594,350.010009765625,188.94000244140625,332.84197998046875,179.9752197265625,598200,32770200
2020-06-16,ASML,351.25,192.88999938964844,355.0,195.5800018310547,347.0400085449219,191.4600067138672,352.04998779296875,193.57000732421875,334.7818908691406,184.38551330566406,863900,42556700
2020-06-17,ASML,361.3800048828125,195.02999877929688,365.75,196.32000732421875,360.4100036621094,193.69000244140625,362.4100036621094,194.24000549316406,344.6336975097656,185.02377319335938,710400,25687800
2020-06-18,ASML,359.5799865722656,194.0,361.79998779296875,196.49000549316406,356.5199890136719,194.0,358.8800048828125,196.32000732421875,341.2768859863281,187.00503540039062,494700,23061600
2020-06-19,ASML,364.7300109863281,198.58999633789062,368.1400146484375,199.2899932861328,359.5899963378906,194.3699951171875,360.6700134277344,195.14999389648438,342.9790954589844,185.8905487060547,786900,44441100
2020-06-22,ASML,362.3800048828125,195.7899932861328,364.92999267578125,200.75999450683594,359.82000732421875,195.22999572753906,364.2900085449219,200.57000732421875,346.4215393066406,191.05337524414062,554500,32818900
2020-06-23,ASML,370.6099853515625,202.08999633789062,371.79998779296875,203.9499969482422,366.54998779296875,201.42999267578125,366.6400146484375,201.91000366210938,348.6562805175781,192.32980346679688,604100,30917400
2020-06-24,ASML,365.5899963378906,201.60000610351562,367.55999755859375,203.25,359.5299987792969,196.55999755859375,361.5799865722656,197.83999633789062,343.84442138671875,188.45289611816406,613500,36740600
2020-06-25,ASML,362.4700012207031,197.8000030517578,366.92999267578125,200.61000061035156,358.5799865722656,195.47000122070312,366.54998779296875,200.33999633789062,348.5706481933594,190.83432006835938,465100,27803900
2020-06-26,ASML,367.42999267578125,199.72999572753906,368.20001220703125,199.88999938964844,361.0,194.8800048828125,361.760009765625,196.3300018310547,344.0156555175781,187.0146026611328,493000,54675800
2020-06-29,ASML,362.92999267578125,195.77999877929688,365.1000061035156,198.52999877929688,358.1099853515625,193.5500030517578,364.80999755859375,198.44000244140625,346.9159851074219,189.02442932128906,612800,26701600
2020-06-30,ASML,362.2200012207031,197.8800048828125,368.9100036621094,204.39999389648438,362.19000244140625,197.74000549316406,368.0299987792969,203.50999450683594,349.9781799316406,193.85386657714844,678600,34310300
2020-07-01,ASML,368.0299987792969,203.13999938964844,370.19000244140625,206.35000610351562,365.2699890136719,201.77000427246094,367.5899963378906,204.6999969482422,349.5596008300781,194.9874267578125,516600,32061200
