Date,Symbol,Open,Open,High,High,Low,Low,Close,Close,Adj Close,Adj Close,Volume,Volume
2020-01-02,CRWD,50.029998779296875,48.52607727050781,50.75,49.87150573730469,49.25,48.52607727050781,49.439998626708984,49.599395751953125,49.439998626708984,48.74766540527344,4428300,8823749
2020-01-03,CRWD,48.91999816894531,48.2917594909668,51.9900016784668,49.36507797241211,48.790000915527344,48.034767150878906,50.75,48.83597946166992,50.75,47.997352600097656,11165600,5236434
2020-01-06,CRWD,51.849998474121094,47.58881378173828,56.16999816894531,48.790626525878906,51.029998779296875,47.430084228515625,55.11000061035156,47.89871597290039,55.11000061035156,47.07618713378906,21725400,5405646
2020-01-07,CRWD,54.54999923706055,49.289493560791016,56.5,51.38322067260742,54.5,48.775508880615234,54.75,51.1413459777832,54.75,50.26313781738281,12503500,14672467
2020-01-08,CRWD,54.20000076293945,50.80120849609375,55.86000061035156,52.15419387817383,53.29999923706055,50.36281204223633,55.65999984741211,51.88208770751953,55.65999984741211,50.991153717041016,7511600,8731932
2020-01-09,CRWD,56.95000076293945,52.448978424072266,57.25,52.660621643066406,55.099998474121094,50.86167907714844,55.939998626708984,51.86697006225586,55.939998626708984,50.976295471191406,6517200,6867296
2020-01-10,CRWD,56.4900016784668,52.07105255126953,58.29999923706055,52.17687225341797,56.0,51.1413459777832,57.20000076293945,51.35298538208008,57.20000076293945,50.47113800048828,8150700,5932729
2020-01-13,CRWD,57.36000061035156,51.821617126464844,59.7400016784668,52.66817855834961,57.0,51.57218551635742,58.970001220703125,52.25245666503906,58.970001220703125,51.355159759521484,7038700,5505003
2020-01-14,CRWD,59.22999954223633,52.30536651611328,60.65999984741211,53.28798294067383,57.5,52.078609466552734,59.2400016784668,52.312923431396484,59.2400016784668,51.41459274291992,7786500,5926246
2020-01-15,CRWD,59.22999954223633,51.69312286376953,61.970001220703125,51.836734771728516,59.22999954223633,49.91685485839844,60.25,50.39304733276367,60.25,49.52768325805664,7973300,7727775
2020-01-16,CRWD,61.5,51.42856979370117,62.75,52.078609466552734,61.0,51.1413459777832,62.2400016784668,51.904762268066406,62.2400016784668,51.01343536376953,6159500,6918629
2020-01-17,CRWD,63.04999923706055,52.72864532470703,63.70000076293945,52.758880615234375,62.060001373291016,51.292518615722656,63.45000076293945,51.5948600769043,63.45000076293945,50.7088623046875,6255900,5579223
2020-01-21,CRWD,63.02000045776367,51.07331848144531,63.38999938964844,52.146636962890625,61.2599983215332,50.99773025512695,62.2400016784668,51.99546432495117,62.2400016784668,51.10258483886719,6086700,6673477
2020-01-22,CRWD,63.0,52.18442916870117,64.04000091552734,52.766441345214844,62.29999923706055,51.60997772216797,62.56999969482422,51.904762268066406,62.56999969482422,51.01343536376953,4257800,4003927
2020-01-23,CRWD,62.56999969482422,53.18216323852539,62.65999984741211,54.42176818847656,60.709999084472656,51.88208770751953,61.54999923706055,53.61300277709961,61.54999923706055,52.69234848022461,4071700,9186251
2020-01-24,CRWD,62.0,54.202571868896484,63.04999923706055,54.24036407470703,57.84000015258789,52.07105255126953,59.25,52.5472412109375,59.25,51.64488220214844,6580200,5880206
2020-01-27,CRWD,56.58000183105469,50.090702056884766,58.15999984741211,51.020408630371094,55.310001373291016,49.37263870239258,58.060001373291016,50.3854866027832,58.060001373291016,49.5202522277832,4425900,6056562
2020-01-28,CRWD,58.65999984741211,51.00529098510742,59.63999938964844,52.025699615478516,58.130001068115234,50.20408248901367,59.06999969482422,51.7082405090332,59.06999969482422,50.82028579711914,3074000,4539081
