Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-01-02,BKNG,82.73600006103516,83.09639739990234,82.12879943847656,82.98320007324219,81.46141052246094,8225000
2020-01-03,BKNG,81.69879913330078,82.70760345458984,81.4000015258789,82.61920166015625,81.10408020019531,7350000
2020-01-06,BKNG,82.0,82.3916015625,81.4000015258789,81.89600372314453,80.39414978027344,9600000
2020-01-07,BKNG,81.89559936523438,82.91320037841797,81.5416030883789,82.72200012207031,81.20500183105469,8632500
2020-01-08,BKNG,82.67359924316406,83.54640197753906,82.28559875488281,82.51599884033203,81.00277709960938,8145000
2020-01-09,BKNG,82.87999725341797,83.5999984741211,82.87999725341797,83.37159729003906,81.84266662597656,6845000
2020-01-10,BKNG,83.53479766845703,83.76000213623047,83.07759857177734,83.47599792480469,81.94515228271484,4962500
2020-01-13,BKNG,83.61000061035156,83.61000061035156,82.92040252685547,83.22000122070312,81.6938705444336,6372500
2020-01-14,BKNG,82.98400115966797,83.44000244140625,82.6864013671875,82.85919952392578,81.33968353271484,8292500
2020-01-15,BKNG,82.94239807128906,83.3595962524414,82.4552001953125,82.60639953613281,81.09149932861328,7725000
2020-01-16,BKNG,82.92040252685547,82.92040252685547,81.63880157470703,82.19000244140625,80.68275451660156,13670000
2020-01-17,BKNG,82.4000015258789,82.56159973144531,81.87640380859375,82.1875991821289,80.6803970336914,11770000
2020-01-21,BKNG,80.23999786376953,80.58039855957031,78.55480194091797,79.622802734375,78.16262817382812,17792500
2020-01-22,BKNG,80.17320251464844,80.5696029663086,79.68160247802734,80.03119659423828,78.56353759765625,8932500
2020-01-23,BKNG,79.44960021972656,80.25559997558594,79.00479888916016,79.72799682617188,78.26589965820312,9212500
2020-01-24,BKNG,79.91999816894531,80.03240203857422,78.1895980834961,78.51840209960938,77.0784912109375,14510000
2020-01-27,BKNG,76.25640106201172,76.71600341796875,74.72160339355469,76.35559844970703,74.9553451538086,17722500
2020-01-28,BKNG,76.58679962158203,77.48079681396484,76.0,76.697998046875,75.29147338867188,12812500
2020-01-29,BKNG,76.96160125732422,77.32160186767578,75.60359954833984,75.75800323486328,74.36869049072266,11130000
2020-01-30,BKNG,74.85679626464844,75.42040252685547,74.35440063476562,74.88359832763672,73.51033782958984,14722500
2020-01-31,BKNG,74.63719940185547,74.63719940185547,72.81759643554688,73.22200012207031,71.87921142578125,17945000
2020-02-03,BKNG,73.55480194091797,74.32640075683594,73.2020034790039,73.56120300292969,72.21219635009766,15865000
2020-02-04,BKNG,74.28240203857422,75.81999969482422,73.92720031738281,74.58039855957031,73.21269226074219,16565000
2020-02-05,BKNG,75.947998046875,77.75920104980469,75.30840301513672,77.57160186767578,76.1490478515625,13807500
2020-02-06,BKNG,78.35600280761719,78.87999725341797,77.48040008544922,78.43599700927734,76.99758911132812,10300000
2020-02-07,BKNG,78.00920104980469,78.4000015258789,76.16639709472656,76.38359832763672,74.98284149169922,11237500
