Date,Symbol,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
2020-01-02,CTSH,487.4100036621094,60.50400161743164,62.290000915527344,54.63999938964844,23.8799991607666,32.290000915527344,149.27999877929688,46.869998931884766,491.4100036621094,62.112998962402344,62.459999084472656,55.657501220703125,24.139999389648438,32.41999816894531,151.1300048828125,47.900001525878906,480.489990234375,60.354000091552734,61.68000030517578,53.42250061035156,22.979999542236328,31.5,148.89999389648438,46.5099983215332,490.42999267578125,62.066001892089844,61.91999816894531,54.845001220703125,23.65999984741211,31.610000610351562,151.1199951171875,47.33000183105469,490.42999267578125,62.066001892089844,56.25585174560547,54.845001220703125,23.65999984741211,23.36287498474121,145.07643127441406,47.33000183105469,1378800,3162000,2234500,3410400,657200,6008700,845100,1377200
2020-01-03,CTSH,485.5299987792969,61.54199981689453,61.08000183105469,54.1974983215332,23.09000015258789,31.5,150.0,46.619998931884766,496.5899963378906,62.678001403808594,61.540000915527344,54.88249969482422,23.860000610351562,31.649999618530273,152.72999572753906,47.88999938964844,485.5299987792969,61.36199951171875,60.88999938964844,53.8025016784668,22.93000030517578,31.219999313354492,150.0,46.52000045776367,494.4700012207031,62.619998931884766,61.36000061035156,54.67499923706055,23.75,31.239999771118164,152.58999633789062,47.380001068115234,494.4700012207031,62.619998931884766,55.747074127197266,54.67499923706055,23.75,23.089406967163086,146.4876708984375,47.380001068115234,974100,2096000,2535700,2171200,751800,5012700,876900,1165200
2020-01-06,CTSH,492.6600036621094,62.34400177001953,61.040000915527344,54.47999954223633,23.559999465942383,31.170000076293945,151.83999633789062,46.900001525878906,498.1499938964844,62.5629997253418,61.29999923706055,56.79499816894531,23.940000534057617,31.469999313354492,153.02999877929688,48.959999084472656,490.92999267578125,61.60300064086914,60.349998474121094,54.1875,23.399999618530273,30.899999618530273,150.69000244140625,46.810001373291016,497.45001220703125,62.45000076293945,60.75,56.497501373291016,23.90999984741211,31.309999465942383,152.94000244140625,48.70000076293945,497.45001220703125,62.45000076293945,55.192867279052734,56.497501373291016,23.90999984741211,23.14113998413086,146.8236541748047,48.70000076293945,829900,1880000,3017000,2699600,1089900,4714700,656200,1534600
2020-01-07,CTSH,497.1300048828125,62.564998626708984,60.66999816894531,56.252498626708984,24.040000915527344,31.25,153.24000549316406,49.040000915527344,500.6499938964844,62.736000061035156,60.689998626708984,58.60749816894531,24.84000015258789,31.28499984741211,154.92999267578125,49.689998626708984,495.54998779296875,61.83100128173828,59.97999954223633,56.252498626708984,23.780000686645508,30.510000228881836,153.0800018310547,48.16999816894531,499.1600036621094,62.00299835205078,60.31999969482422,57.86249923706055,24.719999313354492,30.760000228881836,154.22000122070312,48.400001525878906,499.1600036621094,62.00299835205078,54.802207946777344,57.86249923706055,24.719999313354492,22.734638214111328,148.05245971679688,48.400001525878906,1050800,2330000,2952900,5351200,1123100,7165700,1514700,1714900
2020-01-08,CTSH,499.0,62.13100051879883,60.40999984741211,57.69499969482422,24.75,30.739999771118164,154.47999572753906,48.13999938964844,509.989990234375,62.8650016784668,60.86000061035156,58.939998626708984,26.299999237060547,30.940000534057617,156.22999572753906,51.75,498.54998779296875,61.869998931884766,60.220001220703125,57.20249938964844,24.65999984741211,30.350000381469727,153.9600067138672,47.79999923706055,500.7699890136719,62.53799819946289,60.72999954223633,58.307498931884766,26.229999542236328,30.59000015258789,155.63999938964844,50.75,500.7699890136719,62.53799819946289,55.1746940612793,58.307498931884766,26.229999542236328,22.608991622924805,149.41567993164062,50.75,1063200,2305000,2912100,2938400,1017600,5802900,773100,3232500
2020-01-09,CTSH,501.5,62.94300079345703,61.5,58.752498626708984,26.25,30.670000076293945,156.6699981689453,51.15999984741211,508.8599853515625,63.70100021362305,61.9900016784668,60.19499969482422,26.450000762939453,30.690000534057617,157.9600067138672,54.08000183105469,501.5,62.70000076293945,60.75,57.779998779296875,25.59000015258789,29.940000534057617,156.64999389648438,51.040000915527344,507.2799987792969,62.96900177001953,61.11000061035156,59.817501068115234,25.809999465942383,30.579999923706055,157.13999938964844,54.0,507.2799987792969,62.96900177001953,55.519935607910156,59.817501068115234,25.809999465942383,22.601600646972656,150.8556671142578,54.0,924300,2090000,4049000,3836800,1302400,8938400,758800,4279200
2020-01-10,CTSH,507.7900085449219,63.46200180053711,61.380001068115234,60.36000061035156,25.84000015258789,30.59000015258789,157.11000061035156,54.0,509.0299987792969,64.73200225830078,61.380001068115234,60.53499984741211,26.270000457763672,30.874000549316406,157.82000732421875,55.349998474121094,503.5199890136719,62.9900016784668,60.45000076293945,58.977500915527344,25.190000534057617,30.56999969482422,156.38999938964844,53.95000076293945,505.0299987792969,64.51300048828125,60.63999938964844,59.32500076293945,25.389999389648438,30.700000762939453,157.32000732421875,55.0,505.0299987792969,64.51300048828125,55.092926025390625,59.32500076293945,25.389999389648438,22.690296173095703,151.0284881591797,55.0,912700,2513000,2538300,2511200,1413600,4578200,844700,4006000
2020-01-13,CTSH,506.0400085449219,64.55000305175781,60.4900016784668,58.75,25.399999618530273,30.90999984741211,157.33999633789062,55.5,512.6500244140625,64.89099884033203,61.27000045776367,59.02000045776367,25.489999771118164,31.174999237060547,158.13999938964844,59.79999923706055,504.8900146484375,64.10199737548828,60.209999084472656,56.002498626708984,24.040000915527344,30.700000762939453,156.8800048828125,55.45000076293945,510.1499938964844,64.27400207519531,61.15999984741211,58.959999084472656,24.8799991607666,31.15999984741211,158.02000427246094,59.619998931884766,510.1499938964844,64.27400207519531,55.56536102294922,58.959999084472656,24.8799991607666,23.03028106689453,151.70046997070312,59.619998931884766,933700,1993000,2787200,6299600,910200,4269100,549500,3985700
2020-01-14,CTSH,508.4700012207031,64.2699966430664,61.09000015258789,59.037498474121094,24.6200008392334,31.1299991607666,157.64999389648438,59.61000061035156,512.7000122070312,64.4530029296875,61.709999084472656,60.4900016784668,25.209999084472656,31.75,157.92999267578125,59.88999938964844,506.239990234375,63.310001373291016,60.970001220703125,58.435001373291016,24.149999618530273,31.1200008392334,156.5399932861328,57.0,509.6199951171875,63.99100112915039,61.369998931884766,58.76499938964844,24.8700008392334,31.729999542236328,156.8800048828125,59.540000915527344,509.6199951171875,63.99100112915039,55.75616455078125,58.76499938964844,24.8700008392334,23.451566696166992,150.60606384277344,59.540000915527344,1656100,1474000,3066800,3293600,882100,6794100,617600,3445600
2020-01-15,CTSH,510.1499938964844,63.987998962402344,61.41999816894531,58.86000061035156,24.84000015258789,31.690000534057617,157.33999633789062,58.810001373291016,517.0700073242188,65.46199798583984,62.0,58.9375,25.639999389648438,31.959999084472656,159.13999938964844,60.7599983215332,507.04998779296875,63.987998962402344,61.41999816894531,57.32500076293945,23.81999969482422,31.540000915527344,157.2100067138672,58.36000061035156,515.4000244140625,64.89900207519531,61.849998474121094,58.584999084472656,23.8799991607666,31.600000381469727,158.64999389648438,59.9900016784668,515.4000244140625,64.89900207519531,56.19225311279297,58.584999084472656,23.8799991607666,23.35548210144043,152.30528259277344,59.9900016784668,611200,1965000,2613400,3788800,879100,4243700,824100,2909000
