Date,Symbol,Open,Open,High,High,Low,Low,Close,Close,Adj Close,Adj Close,Volume,Volume
2020-01-02,AXON,74.0199966430664,22.850000381469727,76.62000274658203,23.392499923706055,73.33999633789062,22.84000015258789,76.55999755859375,23.3700008392334,76.55999755859375,23.3700008392334,849400,10866000
2020-01-03,AXON,72.30000305175781,23.155000686645508,75.56999969482422,23.19499969482422,68.68000030517578,22.780000686645508,73.93000030517578,23.165000915527344,73.93000030517578,23.165000915527344,2187900,5023200
2020-01-06,AXON,74.12000274658203,23.065000534057617,74.48999786376953,23.407499313354492,68.08999633789062,23.002500534057617,68.75,23.372499465942383,68.75,23.372499465942383,1727000,7451200
2020-01-07,AXON,68.81999969482422,23.354999542236328,70.7300033569336,23.389999389648438,68.31999969482422,23.137500762939453,69.7699966430664,23.342500686645508,69.7699966430664,23.342500686645508,766300,7188400
2020-01-08,AXON,69.94999694824219,23.352500915527344,71.62999725341797,23.6200008392334,69.51000213623047,23.299999237060547,69.61000061035156,23.502500534057617,69.61000061035156,23.502500534057617,911200,4671200
2020-01-09,AXON,70.08999633789062,23.645000457763672,71.0,23.97249984741211,69.94000244140625,23.645000457763672,70.19000244140625,23.822500228881836,70.19000244140625,23.822500228881836,549600,5338800
2020-01-10,AXON,70.22000122070312,23.8700008392334,70.8499984741211,23.922500610351562,69.20999908447266,23.627500534057617,69.51000213623047,23.827499389648438,69.51000213623047,23.827499389648438,574800,5134400
2020-01-13,AXON,69.83000183105469,24.0575008392334,70.9000015258789,24.075000762939453,69.5,23.764999389648438,70.7699966430664,24.065000534057617,70.7699966430664,24.065000534057617,426800,5091600
2020-01-14,AXON,70.66999816894531,24.09000015258789,71.8499984741211,24.260000228881836,69.47000122070312,24.012500762939453,71.36000061035156,24.084999084472656,71.36000061035156,24.084999084472656,1030500,5239600
2020-01-15,AXON,71.54000091552734,24.030000686645508,72.97000122070312,24.290000915527344,71.54000091552734,23.989999771118164,72.69999694824219,24.167499542236328,72.69999694824219,24.167499542236328,389800,4850800
2020-01-16,AXON,73.12000274658203,24.325000762939453,75.30999755859375,24.34000015258789,73.12000274658203,24.127500534057617,75.22000122070312,24.302499771118164,75.22000122070312,24.302499771118164,522500,3704400
2020-01-17,AXON,75.52999877929688,24.325000762939453,75.8499984741211,24.325000762939453,73.55000305175781,23.77750015258789,73.5999984741211,24.280000686645508,73.5999984741211,24.280000686645508,346700,10496000
2020-01-21,AXON,73.25,24.22249984741211,75.44000244140625,24.760000228881836,73.25,24.202499389648438,75.26000213623047,24.649999618530273,75.26000213623047,24.649999618530273,509100,5870400
2020-01-22,AXON,75.5999984741211,24.782499313354492,79.44999694824219,25.087499618530273,75.5999984741211,24.7549991607666,79.08000183105469,24.90999984741211,79.08000183105469,24.90999984741211,1681400,5819200
